,text,sentiment,preprocessed_text
21,nach dem endspiel der ließ didier seine zukunft offen verbandspräsident le graet will so schnell wie möglich gespräche führen,neutral,endspiel ließ didier zukunft offen verbandspräsident le graet schnell möglich gespräche führen
22,ach wieder diese bla bla bla leise heulen bitte solche tradition wird für sieger gemacht geh lern ein bisschen über die kultur andere länder oder geh lieber und leg deine hand auf den mund und die klappe halten,neutral,ach bla bla bla leise heulen bitte tradition sieger gemacht geh lern bisschen kultur länder geh lieber leg hand mund klappe halten
23,emiliano gewinnt den goldenen handschuh für den besten torhüter der eine frage zu seiner reaktion warum,neutral,emiliano gewinnt goldenen handschuh besten torhüter frage reaktion warum
24,ein 23jähriger schießt 4 tore im wm finale insgesamt 8 tore etliche assists treibt seine mannschaft voran dreht alleine ein 02 und der beste spieler des turniers wird er,neutral,23jähriger schießt 4 tore wm finale insgesamt 8 tore etliche assist treibt mannschaft voran dreht alleine 02 beste spieler turniers
25,1386 mio zuschauer sahen das finale aber vor 4 jahren waren es 213 mio und 2014 zw amp fast 35 mio der um 2015 erreichte 815 mio26 1449jähr 204 mio26 um 2145 334 mio147 061 mio11,positiv,1386 mio zuschauer sahen finale 4 jahren 213 mio 2014 zw amp fast 35 mio 2015 erreichte 815 mio26 1449jähr 204 mio26 2145 334 mio147 061 mio11
26,ich frage mich auch nach welchen kriterien der beste torhüter der wm gekürt wurde die statistiken sagen da ganz was anderes,neutral,frage kriterien beste torhüter wm gekürt wurde statistiken sagen ganz
27,war richtig gut,positiv,richtig gut
28,neben dem ein oder anderen sportlichen höhepunkt der waren vor allem die karikaturen mein absolutes wmhighlight vielen dank,positiv,neben sportlichen höhepunkt karikaturen absolute wmhighlight vielen dank
29,endlich geht messis traum in erfüllung und dann wird er behandelt wie ein kind bei einer schulaufführung,neutral,endlich geht messis traum erfüllung behandelt kind schulaufführung
30,warum argentinien gegen frankreich 2022 wie italien gegen deutschland 1970 ein jahrhundertspiel ist,neutral,warum argentinien frankreich 2022 italien deutschland 1970 jahrhundertspiel
31,13 war gestern der kommt zurück mit der geht es am 26 dezember los,neutral,13 gestern kommt zurück geht 26 dezember los
32,taktikexperte spricht mit über das vielleicht beste wmfinale aller zeiten wählt seine topelf des turniers und erklärt welche lehre des turniers das dfbteam verinnerlichen sollte die finale wmanalyse,positiv,taktikexperte spricht vielleicht beste wmfinale zeiten wählt topelf turniers erklärt lehre turniers dfbteam verinnerlichen finale wmanalyse
33,ziel der ziel wm war immer einem katarischen staatsangestellten den pokal zu überreichen,neutral,ziel ziel wm immer katarischen staatsangestellten pokal überreichen
34,die beste wm aller zeiten,positiv,beste wm zeiten
35,die frankfurter rechtsanwältin sylvia schenk ist als kämpferin gegen korruption und für menschenrechte international aktiv im interview mit spricht sie über lehren aus ihrem besuch bei der in qatar und fehlendes fingerspitzengefühl,negativ,frankfurter rechtsanwältin sylvia schenk kämpferin korruption menschenrechte international aktiv interview spricht lehren besuch qatar fehlendes fingerspitzengefühl
36,kingsley wurde nach seinem elferfehlschuss im finale rassistisch beleidigt,negativ,kingsley wurde elferfehlschuss finale rassistisch beleidigt
37,das größte finale aller zeiten1 okay schon vergessen dass frankreich 80 minuten lang nicht mitgespielt hat,positiv,größte finale zeiten1 okay schon vergessen frankreich 80 minuten lang mitgespielt
38,ich hab bis zum kroatienausscheiden alles recht intensiv verfolgt dann war bei mir die luft irgendwie draußen war mir gleichgültig nach dem 22 leicht auf der seite der franzosen aber insgesamt war die sportlich gesehen schwer in ordnung,neutral,kroatienausscheiden recht intensiv verfolgt luft irgendwie draußen gleichgültig 22 leicht seite franzosen insgesamt sportlich gesehen schwer ordnung
39,das war damals aber harmlos im gegensatz zu dem was die argentinier jetzt aufgeführt haben aber klar darf ja alles weil der ist ja der allergrößte und wieder sind wir bei dieser doppelmoral,negativ,damals harmlos gegensatz argentinier aufgeführt klar darf ja ja allergrößte doppelmoral
40,das finale hat 1386 mio zuschauerinnen vor den bildschirm gelockt ein marktanteil von 536 für das wmfinale 2018 hatten noch 2145 mio menschen gesehen via,negativ,finale 1386 mio zuschauerinnen bildschirm gelockt marktanteil 536 wmfinale 2018 2145 mio menschen gesehen via
41,die ganze war ein fake,negativ,ganze fake
42,grenzenlose freude dfbelf endlich wieder weltmeisterlich,neutral,grenzenlose freude dfbelf endlich weltmeisterlich
43,messi ist jetzt auf einer stufe mit rode,neutral,messi stufe rode
44,das krasseste finale ever gesternegal ob clfinale oder emfinale no cap aber die letzten 1015 jahre kein besseres finale gesehen wm22,positiv,krasseste finale ever gesternegal clfinale emfinale no cap letzten 1015 jahre besseres finale gesehen wm22
45,das schöne an der wm waren natürlich die tollen toreund vor allem das grandiose endspiel das man zu den besten seiner geschichte zählen muß im rückblick bleiben die ausgebeuteten gastarbeiter udunsägliche diskussion um die armbinde,positiv,schöne wm natürlich tollen toreund grandiose endspiel besten geschichte zählen muß rückblick bleiben ausgebeuteten gastarbeiter udunsägliche diskussion armbinde
46,mbapp musste sich so wenigstens nicht den entwürdigenden umhang umlegen lassen,neutral,mbapp wenigstens entwürdigenden umhang umlegen lassen
47,mit und waren zwei länder erfolgreich die noch als zwei länder zu erkennen sind die wert auf ihre identität legen und die sich während des turniers um fußball gekümmert haben nicht um gratismutiges politgedöns,positiv,zwei länder erfolgreich zwei länder erkennen wert identität legen turniers fußball gekümmert gratismutiges politgedöns
48,die ist beendet einige spieler haben sich hervorgetan nominiert sein team des turniers mit amp co,neutral,beendet spieler hervorgetan nominiert team turniers amp co
49,zum glück ist der quatsch jetzt endlich vorbei,negativ,glück quatsch endlich vorbei
50,argentinien feiert seine fußballweltmeister und messi ist am ziel seiner träume mit dem goldenen wmpokal in der hand feiert superstar messi am sonntagabend ein stück fußballgeschichte und mit ihm eine ganze nation,neutral,argentinien feiert fußballweltmeister messi ziel träume goldenen wmpokal hand feiert superstar messi sonntagabend stück fußballgeschichte ganze nation
51,internationale pressestimmen zum wmfinale messi wie maradona argentinien ist weltmeister,neutral,internationale pressestimmen wmfinale messi maradona argentinien weltmeister
52,jeder von uns hat eine zur erstellt was meint ihr welche spieler dürfen auf keinen fall fehlen,neutral,erstellt meint spieler dürfen fall fehlen
53,die in war wesentlich besser als erwartet abgeschlossen mit einem traumfinal bilanz aus dem,positiv,wesentlich besser erwartet abgeschlossen traumfinal bilanz
54,wer wundert sich bei dieser summe,neutral,wer wundert summe
55,das liegt ganz eindeutig an der ahnungslosen langweiligen experten runde die keiner sehen will angeführt von der dummen almuth ard mit quotenpleite im finale,negativ,liegt ganz eindeutig ahnungslosen langweiligen experten runde sehen angeführt dummen almuth ard quotenpleite finale
56,in der mitte der wahnsinnigen daneben der mafia ganz links für peinliche auftritte,negativ,mitte wahnsinnigen daneben mafia ganz link peinliche auftritte
57,energisch eier fordern schämt euch rufen fremdländische gewänder thematisieren uvm und dabei keine ahnung von fußball haben was machen diese leute jetzt auf twitter,positiv,energisch eier fordern schämt rufen fremdländische gewänder thematisieren uvm dabei ahnung fußball leute twitter
58,der schmerz für frankreich hält sich in grenzen beispielsweise kann weiterhin damit aufziehen dass er mit psg noch nicht die champions league gewonnen hat,neutral,schmerz frankreich hält grenzen beispielsweise weiterhin aufziehen psg champion league gewonnen
59,ach diese doppelmoral vor der waren die meisten nur am schimpfen ich boykottiere plötzlich passt das ergebnis und alle sind aus dem häschen also mir wäre ein weltmeister messi im tal der tränen und eine fortsetzung der schimpferei lieber gewesen,negativ,ach doppelmoral meisten schimpfen boykottiere plötzlich passt ergebnis häschen wäre weltmeister messi tal tränen fortsetzung schimpferei lieber
60,gemeinsam im fußballolymp,neutral,gemeinsam fußballolymp
61,in 2015 wurde dieser tweet geschrieben 7 jahre später trifft die vorhersage ein,neutral,2015 wurde tweet geschrieben 7 jahre später trifft vorhersage
62,ich denke nach diesem geschichtsträchtigen finale und der krönung von lionel messi auch an cristiano ronaldo und lächle,neutral,denke geschichtsträchtigen finale krönung lionel messi cristiano ronaldo lächle
63,mir fehlte gestern schon das bild des an krücken dazwischengrätschenden manuel neuer der vor anlegen des umhangs die one lovebinde anklebt und hastig davonstakst,neutral,fehlte gestern schon bild krücken dazwischengrätschenden manuel neuer anlegen umhangs one lovebinde anklebt hastig davonstakst
64,wer die wahrheit hören will den sollte man vorher fragen ob er sie ertragen kann ernst r hauschka,neutral,wer wahrheit hören vorher fragen ertragen ernst r hauschka
65,letztendlich hat sich das europäische team durchgesetzt,neutral,letztendlich europäische team durchgesetzt
66,spaß beiseite ich finde gut dass deutschland nicht weiter gekommen weltmeister geworden ist deutschland sollte sich eh von allen internationalen wettbewerben raus haltendenn wir schaffen das nicht stellt euch vor neuer würde den umhang tragen,neutral,spaß beiseite finde gut deutschland gekommen weltmeister geworden deutschland eh internationalen wettbewerben raus haltendenn schaffen stellt neuer umhang tragen
67,argentinier verhöhnen frankreichs star mit schweigeminute,neutral,argentinier verhöhnen frankreichs star schweigeminute
68,jetzt hat wohl messi der welt gezeigt dass er besser ist als messi,neutral,wohl messi welt gezeigt besser messi
69,ist vorbei und wieder ist keine geworden denn die afrikaner haben gestern gegen verloren,neutral,vorbei geworden afrikaner gestern verloren
70,danke für den besuch unserer aktion am auch nach der können näherinnen nicht aufatmen wir bieten ihnen weiterhin konkrete unterstützung und fordern den respekt von arbeitsrechten,negativ,danke besuch unserer aktion näherinnen aufatmen bieten weiterhin konkrete unterstützung fordern respekt arbeitsrechten
71,meine ehrliche bilanz zur rein sportlich gesehen war es wohl die beste die ich jahrgang 1984 im tv verfolgt habe berraschungen hoch spannende duelle allen voran in der kophase und vielleicht das beste wmfinale der geschichte,positiv,ehrliche bilanz rein sportlich gesehen wohl beste jahrgang 1984 tv verfolgt berraschungen hoch spannende duelle voran kophase vielleicht beste wmfinale geschichte
72,ich wünsche mir dass mit dieser auch der sehr deutsche moralrigorismus endet der alles besser weiß andere haltungen nicht duldet und sich in einem boykott suhlt der mindestens eine dekade zu spät kommt via,positiv,wünsche deutsche moralrigorismus endet besser weiß haltungen duldet boykott suhlt mindestens dekade spät kommt via
73,schauen sies halt nicht und wenn es ganz viele nicht schauen ist es bald zu ende ist manchmal ganz einfach,neutral,schauen sies halt ganz viele schauen bald ende manchmal ganz einfach
74,wer hätte eigentlich gedacht dass plötzlich wird wenn keine typen mit langen haaren im team sind,neutral,wer hätte eigentlich gedacht plötzlich typen langen haaren team
75,eigentlich ist es eine ehre den eines arabischen adels zu erhalten ob der politischen und religiösen indoktrination eurer was das für eine geste ist daß wisst ihr nicht daß ist klar unwissenheit,neutral,eigentlich ehre arabischen adels erhalten politischen religiösen indoktrination geste wisst klar unwissenheit
76,nach der ist bekanntlich vor winter,neutral,bekanntlich winter
77,kylian mbapp traf in 120 minuten dreimal und dann auch im elfmeterschießen für seinen zweiten wmtitel reichte es dennoch nicht weil frankreich einen schlechten tag hatte,neutral,kylian mbapp traf 120 minuten dreimal elfmeterschießen zweiten wmtitel reichte dennoch frankreich schlechten tag
78,weil sport nicht politisch ist durfte die rede selenskyjs nicht vor dem spiel gezeigt werden weil sport politisch ist amp gerne diktaturen reinwäscht wurde lionel messi vom emir in ein kulturell geprägtes gewand gehüllt bevor er den pokal hebt ein passendes ende für die,negativ,sport politisch durfte rede selenskyjs spiel gezeigt sport politisch amp gerne diktaturen reinwäscht wurde lionel messi emir kulturell geprägtes gewand gehüllt bevor pokal hebt passendes ende
79,der hat die mit 200 millionen bezahlt,neutral,200 millionen bezahlt
80,die ist geschichte und der titel geht nach einen einblick wie in der fußball gelebt wird gibt unser buch futbol fanatico,positiv,geschichte titel geht einblick fußball gelebt gibt buch futbol fanatico
81,das passiert mit den wmarenen,neutral,passiert wmarenen
82,off teilen erwünscht,neutral,off teilen erwünscht
83,komischerweise hat der zusändige kollege auf meine zeilenvorschläge noch gar nicht reagiert,neutral,komischerweise zusändige kollege zeilenvorschläge gar reagiert
84,was trägt da für eine komische,neutral,trägt komische
85,die fußballwelt verneigt sich vor lionel messi,neutral,fußballwelt verneigt lionel messi
86,2022 bot einige sportliche ereignisse die der die in peking die oder die für redaktionen ging es aber neben dem auch um komplexe debatten ein jahresrückblick von,neutral,2022 bot sportliche ereignisse peking redaktionen ging neben komplexe debatten jahresrückblick
87,welcher gefällt euch besser mit dem oder mit der hoffentlich wird mir die reihenfolge nicht als ausgelegt,neutral,gefällt besser hoffentlich reihenfolge ausgelegt
88,stell dir vor du fährst zu dieser wm und wirst 2 cringe,negativ,stell fährst wm 2 cringe
89,das war so ein crime das spiel habe es aber und vor allem gegönnt der umhang vom scheich war komplett peinlich und unnötig aber messi konnte ja schlecht sagen ne so einen shice trage ich nicht,negativ,crime spiel gegönnt umhang scheich komplett peinlich unnötig messi konnte ja schlecht sagen ne shice trage
90,glückwunsch an die fraktion ihr habt das beste wm finale aller zeiten verpasst,positiv,glückwunsch fraktion habt beste wm finale zeiten verpasst
91,ich habs nicht gesehen aber ich kann mir nicht vorstellen dass es einen größeren besseren würdevolleren moment bei der gab als diesen hier,positiv,habs gesehen vorstellen größeren besseren würdevolleren moment gab
92,an alle die sich darüber empören dass bei seinem größten triumph bei der vom scheich eine der größten auszeichnung der landes geschenkt bekam steckt euch euren hass auf den sonst wohin,positiv,darüber empören größten triumph scheich größten auszeichnung landes geschenkt bekam steckt ha wohin
93,die war gekauft und jedes zeichen in diese richtung ist zum kotzen was wäre gewesen hätte die wm im armen marokko stattgefunden und dort hätte man dieses teil umgemantelt hätte man das dann nur als skurrile notiz empfunden als skurriles lokales detail,neutral,gekauft zeichen richtung kotzen wäre hätte wm armen marokko stattgefunden hätte teil umgemantelt hätte skurrile notiz empfunden skurriles lokales detail
94,argentinien ist und bleibt einfach eine unsympathentruppe,neutral,argentinien bleibt einfach unsympathentruppe
95,nach der ist vor der bzw der bereit um großes zu feiern,neutral,bzw bereit großes feiern
96,nach zuvor selbstkritischen tönen chef stimmt in lobeshymnen von boss ein,positiv,zuvor selbstkritischen tönen chef stimmt lobeshymnen bos
97,im finale der konnte sich gegen im elfmeterschießen durchsetzen ist bei diesem turnier oft neben dem platz negativ aufgefallen hat messi den wmtitel verdient diskutiert mit steffen bohleber und um,neutral,finale konnte elfmeterschießen durchsetzen turnier oft neben platz negativ aufgefallen messi wmtitel verdient diskutiert steffen bohleber
98,grundsätzlich ging mir die aus gründen völlig am pöppes vorbei aus psychologischer sicht finde ich es aber bemerkenswert dass ausgerechnet ein in aufgeräumt hat sorry geht gleich wieder,neutral,grundsätzlich ging gründen völlig pöppes vorbei psychologischer sicht finde bemerkenswert ausgerechnet aufgeräumt sorry geht gleich
99,ich habe fast jedes spiel der gesehen und den fußball genossen aber nach dieser peinlichen bademantelaktion vom emir mit messi trete ich in einen katarboykott so ein ruinierter moment nimmt mir die lust dieses land jemals zu besuchen,positiv,fast spiel gesehen fußball genossen peinlichen bademantelaktion emir messi trete katarboykott ruinierter moment nimmt lust land jemals besuchen
100,messi lachte nach dem wmsieg weil er wie wir alle also die üblichen zwischen selbstgerechtigkeit und selbsthaß pendelnden journalitinnen von einer last befreit wurde von der bösen bösen bösen und ich freue mich auf die spiegelschreibenden wenn sie 2026,neutral,messi lachte wmsieg üblichen selbstgerechtigkeit selbsthaß pendelnden journalitinnen last befreit wurde bösen bösen bösen freue spiegelschreibenden 2026
101,wann beginnt denn die eigentlich,neutral,wann beginnt eigentlich
102,die ware fußball und der wahre fußball,positiv,ware fußball wahre fußball
103,brüder im geiste immerhin beide haben ein problem mit kritik und lassen inhalte in den sozialen medien löschen der eine weil er es kann der andere erlässt gesetze dazu die buddies beim smalltalk und beim finale in,neutral,brüder geiste immerhin beide problem kritik lassen inhalte sozialen medien löschen erlässt gesetze buddy beim smalltalk beim finale
104,hat sich wärend und vor allem nach dem spiel gegen holland sehr unsportlich gezeigt kein vorbild nach dem sieg über genau das selbe für mich ist argentinien kein würdiger weltmeister,neutral,wärend spiel holland unsportlich gezeigt vorbild sieg genau selbe argentinien würdiger weltmeister
105,argentinien ist weltmeister hier gibts alle spiele und resultate der wm 2022 im berblick,neutral,argentinien weltmeister gibts spiele resultate wm 2022 berblick
106,haben die kataris schon angefangen die stadien abzureissen,neutral,katari schon angefangen stadien abzureissen
107,auch barack obama schwärmt von lionel messi,neutral,barack obama schwärmt lionel messi
108,da bin ich aber jetzt wirklich erleichtert dass die fußball vorbei ist endlich verschwinden diese berichte über menschrechte und missstände aus den medien es ist ja auch bald weihnachten und dann will man es doch gemütlich haben ist doch sooder,positiv,wirklich erleichtert fußball vorbei endlich verschwinden berichte menschrechte missstände medien ja bald weihnachten gemütlich sooder
109,dafür dass alle laut gegrölt haben dass sie die wm auch boykottieren seh ich extrem viele freudesausbrüche über den sieg argentiniens und bekundungen was für eine mega wm das war in meiner timeline wenn ihr nicht mal das schafft geht die neujahrsvorsätze klein an,positiv,dafür laut gegrölt wm boykottieren seh extrem viele freudesausbrüche sieg argentiniens bekundungen mega wm timeline mal schafft geht neujahrsvorsätze klein
110,kein spiel dieser geschaut und meine berzeugung dass dies richtig war ist durch den versuch der politischen instrumentalisierung von durch mit freundlicher hilfe von bis zuletzt bestätigt worden,negativ,spiel geschaut berzeugung richtig versuch politischen instrumentalisierung freundlicher hilfe zuletzt bestätigt worden
111,nach sieg von argentinien wurde buenos aires zur partyzone pclmedia,neutral,sieg argentinien wurde buenos aire partyzone pclmedia
112,wie ist die stimmung in mit eindrücken aus dem weltmeisterland in unserem newspodcast nachrichtenwecker und überall wo es podcasts gibt,neutral,stimmung eindrücken weltmeisterland newspodcast nachrichtenwecker überall podcasts gibt
113,ich bekomme wirklich das kotzen wenn ich sehe wie king touchameni und kolo muani jetzt rassistisch beleidigt werden was alle 3 für ein krankes finale gespielt haben fällt komplett runter und das als 2 platz absolut unverständlich für mich,neutral,bekomme wirklich kotzen sehe king touchameni kolo muani rassistisch beleidigt 3 krankes finale gespielt fällt komplett runter 2 platz absolut unverständlich
114,bizarre szenen aus der nach dem,neutral,bizarre szenen
115,absolutes top wm finale aber das so viele jetzt meinen das es einer der besten wms war verstehe ich 0 auch nicht wenn man die äußeren umstände mal außen vor lässt die gruppenphase war super langeweilig und viele sehr schlechte spiele 14,positiv,absolute top wm finale viele besten wms verstehe 0 äußeren umstände mal außen lässt gruppenphase super langeweilig viele schlechte spiele 14
116,maßgeblich für die richtige einordnung des arabischen weltbilds sind nicht interne arbeitsgesellschaftsverhältnissesondern die unfähigkeitandere kulturen zu tolerieren und nicht zu ersetzen das zeigte wieder mal die einkleidung messis vor der pokalübergabe,negativ,maßgeblich richtige einordnung arabischen weltbilds interne arbeitsgesellschaftsverhältnissesondern unfähigkeitandere kulturen tolerieren ersetzen zeigte mal einkleidung messis pokalübergabe
117,die europäer aus südamerikaner haben gegen die afrikaner aus frankreich gewonnen glückwunsch an uns weiße,neutral,europäer südamerikaner afrikaner frankreich gewonnen glückwunsch weiße
118,sehr schoene geste von katarischem prince und messe freut sich darueber auch wenn beider einverstanden sind dann wer bist du dies zu kritisieren also klappe halten,positiv,schoene geste katarischem prince messe freut darueber beider einverstanden wer kritisieren klappe halten
119,eigentlich wollte die wm niemand schauen und nun ist es das vielleicht beste wmfinal aller zeiten,positiv,eigentlich wm niemand schauen vielleicht beste wmfinal zeiten
120,nach dem vorrundenaus der deutschen bin ich jetzt ganz froh dass die endlich vorbei ist mit dem wort e assoziiere ich im brigen auch immer noch etwa anderes,neutral,vorrundenaus deutschen ganz froh endlich vorbei wort e assoziiere brigen immer etwa
121,eine südamerikanische mannschaft argentinien deren spieler hauptsächlich christlichen und europäischen migrationshintergrund haben schlägt eine europäische mannschaft frankreich deren spieler hauptsächlich muslimischen und afrikanischen migrationshintergrund haben,neutral,südamerikanische mannschaft argentinien deren spieler hauptsächlich christlichen europäischen migrationshintergrund schlägt europäische mannschaft frankreich deren spieler hauptsächlich muslimischen afrikanischen migrationshintergrund
122,neuer bekommt zwar nicht den goldenen handschuh aber zum trost wird ihm nachträglich der goldene reklamierarm verliehen,neutral,neuer bekommt goldenen handschuh trost nachträglich goldene reklamierarm verliehen
123,die war ein großer erfolg für die welt zeigte sich solidarisch im sport amp legte die politik zur seite teamgeist menschlichkeit amp sport dominierten alles nur die dt spaßbremsen amp blamierten international bis auf die knochen,positiv,großer erfolg welt zeigte solidarisch sport amp legte politik seite teamgeist menschlichkeit amp sport dominierten dt spaßbremsen amp blamierten international knochen
124,sagt dass für die andere ausgebildet sind leider sind nicht alle hierfür ausgebildet einige haben noch nicht mal eine oder ein abgeschlossen via,neutral,sagt ausgebildet leider hierfür ausgebildet mal abgeschlossen via
125,die war in katar war das jetzt im nachhinein so schlimm wie gedacht mein fazit eindeutiges nein,positiv,katar nachhinein schlimm gedacht fazit eindeutiges nein
126,warum musste vom scheich gezwungen messi das durchsichtige neglig anziehen der scheich der alte schwerenöter,negativ,warum scheich gezwungen messi durchsichtige neglig anziehen scheich alte schwerenöter
127,ich versteh nich warum menschen immer noch irritiert sind wenn ich sage dass ich kein fußball gucke digga würde ich mich für sport interessieren wär ich nich fett,neutral,versteh nich warum menschen immer irritiert sage fußball gucke digga sport interessieren wär nich fett
128,nach einem krimi gegen haben die argentinier nach 36 jahren erneut den pokal geholt insgesamt das dritte mal auch in feierten die menschen ausgelassen,neutral,krimi argentinier 36 jahren erneut pokal geholt insgesamt dritte mal feierten menschen ausgelassen
129,zu dieser paßt es irgendwie keine identifikation gefunden wenig informiert dann eingebildet das finale käme um 20 uhr woher auch immer ich die info hatte ca 85 minute zugeschaltet mit o2 tv zurückgespult ende 1 halbzeit gerät aufgehängt ergebnis,neutral,paßt irgendwie identifikation gefunden wenig informiert eingebildet finale käme 20 uhr woher immer info ca 85 minute zugeschaltet o2 tv zurückgespult ende 1 halbzeit gerät aufgehängt ergebnis
130,die beste wm aller zeiten was ein finale messi,positiv,beste wm zeiten finale messi
131,ihr von um eure rsche zu wärmen ist ok aber geht gar nicht,neutral,rsche wärmen ok geht gar
132,gerade im tv 2024 dann die em in deutschland endlich wieder fußball ohne schlechtes gewissen schauen meine fresse,negativ,gerade tv 2024 em deutschland endlich fußball schlechtes gewissen schauen fresse
133,nachdem diese klimafeindliche vorbei ist können wir dann endlich in deutschland die schneekanonen anwerfen und das land bis april in eine weiße skilandschaft verwandeln,neutral,nachdem klimafeindliche vorbei endlich deutschland schneekanonen anwerfen land april weiße skilandschaft verwandeln
134,wie di maria argentinien einen vorteil verschaffte und wie frankreich dank zweier bundesligastars zurück ins spiel fand meine analyse des finals gibt es in meinem tagebuch,neutral,di maria argentinien vorteil verschaffte frankreich dank zweier bundesligastars zurück spiel fand analyse final gibt tagebuch
135,wird vom zur interviewt hat aber selbst nicht ein einziges spiel angeschaut was das für eine redaktionelle auswahl wie können solche interviewpartnerinnen auch nur annähernd eine bilanz ziehen,neutral,interviewt einziges spiel angeschaut redaktionelle auswahl interviewpartnerinnen annähernd bilanz ziehen
136,das wird mein einziger tweet bleiben woher kommen die farben von von den byzantinern eh klar,neutral,einziger tweet bleiben woher kommen farben byzantinern eh klar
137,wechsel beleben frankreich aber argentinien trotzt diesen hat lionel und am ende die besseren nerven die analyse zum endspiel der von,neutral,wechsel beleben frankreich argentinien trotzt lionel ende besseren nerven analyse endspiel
138,ernste frage ist es nicht auch rassismus wenn nur schnell rennende afrikaner die chance haben in einem europäischen land sozial aufzusteigen,neutral,ernste frage rassismus schnell rennende afrikaner chance europäischen land sozial aufzusteigen
139,wird nach dem triumph an der eingekleidet und die lässt die hüllen fallen der robenmoment holt die fussballwelt auf den boden zurück wm 2022 mit der robe für messi stellt sich die fifa selbst bloss,negativ,triumph eingekleidet lässt hüllen fallen robenmoment holt fussballwelt boden zurück wm 2022 robe messi stellt fifa bloss
140,spätestens mit dieser letzten geste der wm wurde klar wie unwichtig das eigentliche spiel geworden,negativ,spätestens letzten geste wm wurde klar unwichtig eigentliche spiel geworden
