text,word_count,char_count,average_word_length,stopword_count,stopword_rate,language
ich denke nach diesem geschichtsträchtigen finale und der krönung von lionel messi auch an cristiano ronaldo und lächle,18,119,5.666666666666667,9,0.5,de
mir fehlte gestern schon das bild des an krücken dazwischengrätschenden manuel neuer der vor anlegen des umhangs die one lovebinde anklebt und hastig davonstakst,24,161,5.75,9,0.375,de
wer die wahrheit hören will den sollte man vorher fragen ob er sie ertragen kann ernst r hauschka,18,97,4.444444444444445,9,0.5,de
letztendlich hat sich das europäische team durchgesetzt,7,55,7.0,3,0.42857142857142855,de
spaß beiseite ich finde gut dass deutschland nicht weiter gekommen weltmeister geworden ist deutschland sollte sich eh von allen internationalen wettbewerben raus haltendenn wir schaffen das nicht stellt euch vor neuer würde den umhang tragen,35,242,5.942857142857143,16,0.45714285714285713,de
argentinier verhöhnen frankreichs star mit schweigeminute,6,57,8.666666666666666,1,0.16666666666666666,de
jetzt hat wohl messi der welt gezeigt dass er besser ist als messi,13,66,4.153846153846154,7,0.5384615384615384,de
ist vorbei und wieder ist keine geworden denn die afrikaner haben gestern gegen verloren,14,88,5.357142857142857,9,0.6428571428571429,de
danke für den besuch unserer aktion am auch nach der können näherinnen nicht aufatmen wir bieten ihnen weiterhin konkrete unterstützung und fordern den respekt von arbeitsrechten,26,178,5.884615384615385,13,0.5,de
meine ehrliche bilanz zur rein sportlich gesehen war es wohl die beste die ich jahrgang 1984 im tv verfolgt habe berraschungen hoch spannende duelle allen voran in der kophase und vielleicht das beste wmfinale der geschichte,36,224,5.25,15,0.4166666666666667,de
ich wünsche mir dass mit dieser auch der sehr deutsche moralrigorismus endet der alles besser weiß andere haltungen nicht duldet und sich in einem boykott suhlt der mindestens eine dekade zu spät kommt via,34,205,5.0588235294117645,19,0.5588235294117647,de
schauen sies halt nicht und wenn es ganz viele nicht schauen ist es bald zu ende ist manchmal ganz einfach,20,106,4.35,9,0.45,de
wer hätte eigentlich gedacht dass plötzlich wird wenn keine typen mit langen haaren im team sind,16,96,5.0625,7,0.4375,de
eigentlich ist es eine ehre den eines arabischen adels zu erhalten ob der politischen und religiösen indoktrination eurer was das für eine geste ist daß wisst ihr nicht daß ist klar unwissenheit,32,194,5.09375,20,0.625,de
nach der ist bekanntlich vor winter,6,35,5.0,4,0.6666666666666666,de
kylian mbapp traf in 120 minuten dreimal und dann auch im elfmeterschießen für seinen zweiten wmtitel reichte es dennoch nicht weil frankreich einen schlechten tag hatte,26,169,5.538461538461538,12,0.46153846153846156,de
weil sport nicht politisch ist durfte die rede selenskyjs nicht vor dem spiel gezeigt werden weil sport politisch ist amp gerne diktaturen reinwäscht wurde lionel messi vom emir in ein kulturell geprägtes gewand gehüllt bevor er den pokal hebt ein passendes ende für die,44,270,5.159090909090909,18,0.4090909090909091,de
der hat die mit 200 millionen bezahlt,7,37,4.428571428571429,4,0.5714285714285714,de
die ist geschichte und der titel geht nach einen einblick wie in der fußball gelebt wird gibt unser buch futbol fanatico,21,120,4.761904761904762,11,0.5238095238095238,de
das passiert mit den wmarenen,5,29,5.0,3,0.6,de
off teilen erwünscht,3,20,6.0,0,0.0,de
komischerweise hat der zusändige kollege auf meine zeilenvorschläge noch gar nicht reagiert,12,91,6.666666666666667,6,0.5,de
was trägt da für eine komische,6,30,4.166666666666667,4,0.6666666666666666,de
die fußballwelt verneigt sich vor lionel messi,7,46,5.714285714285714,3,0.42857142857142855,de
2022 bot einige sportliche ereignisse die der die in peking die oder die für redaktionen ging es aber neben dem auch um komplexe debatten ein jahresrückblick von,27,161,5.0,16,0.5925925925925926,de
welcher gefällt euch besser mit dem oder mit der hoffentlich wird mir die reihenfolge nicht als ausgelegt,17,105,5.235294117647059,12,0.7058823529411765,de
stell dir vor du fährst zu dieser wm und wirst 2 cringe,12,55,3.6666666666666665,7,0.5833333333333334,de
das war so ein crime das spiel habe es aber und vor allem gegönnt der umhang vom scheich war komplett peinlich und unnötig aber messi konnte ja schlecht sagen ne so einen shice trage ich nicht,36,192,4.361111111111111,20,0.5555555555555556,de
glückwunsch an die fraktion ihr habt das beste wm finale aller zeiten verpasst,13,78,5.076923076923077,5,0.38461538461538464,de
ich habs nicht gesehen aber ich kann mir nicht vorstellen dass es einen größeren besseren würdevolleren moment bei der gab als diesen hier,23,138,5.043478260869565,15,0.6521739130434783,de
an alle die sich darüber empören dass bei seinem größten triumph bei der vom scheich eine der größten auszeichnung der landes geschenkt bekam steckt euch euren hass auf den sonst wohin,31,184,4.967741935483871,18,0.5806451612903226,de
die war gekauft und jedes zeichen in diese richtung ist zum kotzen was wäre gewesen hätte die wm im armen marokko stattgefunden und dort hätte man dieses teil umgemantelt hätte man das dann nur als skurrile notiz empfunden als skurriles lokales detail,42,251,5.0,22,0.5238095238095238,de
argentinien ist und bleibt einfach eine unsympathentruppe,7,57,7.285714285714286,3,0.42857142857142855,de
nach der ist vor der bzw der bereit um großes zu feiern,12,55,3.6666666666666665,8,0.6666666666666666,de
nach zuvor selbstkritischen tönen chef stimmt in lobeshymnen von boss ein,11,73,5.7272727272727275,4,0.36363636363636365,de
im finale der konnte sich gegen im elfmeterschießen durchsetzen ist bei diesem turnier oft neben dem platz negativ aufgefallen hat messi den wmtitel verdient diskutiert mit steffen bohleber und um,30,196,5.566666666666666,14,0.4666666666666667,de
grundsätzlich ging mir die aus gründen völlig am pöppes vorbei aus psychologischer sicht finde ich es aber bemerkenswert dass ausgerechnet ein in aufgeräumt hat sorry geht gleich wieder,28,185,5.642857142857143,13,0.4642857142857143,de
ich habe fast jedes spiel der gesehen und den fußball genossen aber nach dieser peinlichen bademantelaktion vom emir mit messi trete ich in einen katarboykott so ein ruinierter moment nimmt mir die lust dieses land jemals zu besuchen,38,233,5.157894736842105,20,0.5263157894736842,de
messi lachte nach dem wmsieg weil er wie wir alle also die üblichen zwischen selbstgerechtigkeit und selbsthaß pendelnden journalitinnen von einer last befreit wurde von der bösen bösen bösen und ich freue mich auf die spiegelschreibenden wenn sie 2026,39,252,5.487179487179487,22,0.5641025641025641,de
wann beginnt denn die eigentlich,5,32,5.6,2,0.4,de
die ware fußball und der wahre fußball,7,38,4.571428571428571,3,0.42857142857142855,de
brüder im geiste immerhin beide haben ein problem mit kritik und lassen inhalte in den sozialen medien löschen der eine weil er es kann der andere erlässt gesetze dazu die buddies beim smalltalk und beim finale in,37,213,4.783783783783784,19,0.5135135135135135,de
hat sich wärend und vor allem nach dem spiel gegen holland sehr unsportlich gezeigt kein vorbild nach dem sieg über genau das selbe für mich ist argentinien kein würdiger weltmeister,30,182,5.1,18,0.6,de
argentinien ist weltmeister hier gibts alle spiele und resultate der wm 2022 im berblick,14,88,5.357142857142857,6,0.42857142857142855,de
haben die kataris schon angefangen die stadien abzureissen,8,58,6.375,3,0.375,de
auch barack obama schwärmt von lionel messi,7,43,5.285714285714286,2,0.2857142857142857,de
da bin ich aber jetzt wirklich erleichtert dass die fußball vorbei ist endlich verschwinden diese berichte über menschrechte und missstände aus den medien es ist ja auch bald weihnachten und dann will man es doch gemütlich haben ist doch sooder,40,244,5.125,25,0.625,de
dafür dass alle laut gegrölt haben dass sie die wm auch boykottieren seh ich extrem viele freudesausbrüche über den sieg argentiniens und bekundungen was für eine mega wm das war in meiner timeline wenn ihr nicht mal das schafft geht die neujahrsvorsätze klein an,44,263,5.0,24,0.5454545454545454,de
kein spiel dieser geschaut und meine berzeugung dass dies richtig war ist durch den versuch der politischen instrumentalisierung von durch mit freundlicher hilfe von bis zuletzt bestätigt worden,28,194,5.964285714285714,16,0.5714285714285714,de
nach sieg von argentinien wurde buenos aires zur partyzone pclmedia,10,67,5.8,3,0.3,de
wie ist die stimmung in mit eindrücken aus dem weltmeisterland in unserem newspodcast nachrichtenwecker und überall wo es podcasts gibt,20,135,5.8,12,0.6,de
ich bekomme wirklich das kotzen wenn ich sehe wie king touchameni und kolo muani jetzt rassistisch beleidigt werden was alle 3 für ein krankes finale gespielt haben fällt komplett runter und das als 2 platz absolut unverständlich für mich,39,238,5.128205128205129,18,0.46153846153846156,de
bizarre szenen aus der nach dem,6,31,4.333333333333333,4,0.6666666666666666,de
absolutes top wm finale aber das so viele jetzt meinen das es einer der besten wms war verstehe ich 0 auch nicht wenn man die äußeren umstände mal außen vor lässt die gruppenphase war super langeweilig und viele sehr schlechte spiele 14,42,236,4.642857142857143,21,0.5,de
maßgeblich für die richtige einordnung des arabischen weltbilds sind nicht interne arbeitsgesellschaftsverhältnissesondern die unfähigkeitandere kulturen zu tolerieren und nicht zu ersetzen das zeigte wieder mal die einkleidung messis vor der pokalübergabe,31,256,7.290322580645161,15,0.4838709677419355,de
die europäer aus südamerikaner haben gegen die afrikaner aus frankreich gewonnen glückwunsch an uns weiße,15,105,6.066666666666666,8,0.5333333333333333,de
sehr schoene geste von katarischem prince und messe freut sich darueber auch wenn beider einverstanden sind dann wer bist du dies zu kritisieren also klappe halten,26,163,5.3076923076923075,13,0.5,de
eigentlich wollte die wm niemand schauen und nun ist es das vielleicht beste wmfinal aller zeiten,16,97,5.125,8,0.5,de
nach dem vorrundenaus der deutschen bin ich jetzt ganz froh dass die endlich vorbei ist mit dem wort e assoziiere ich im brigen auch immer noch etwa anderes,28,156,4.607142857142857,16,0.5714285714285714,de
eine südamerikanische mannschaft argentinien deren spieler hauptsächlich christlichen und europäischen migrationshintergrund haben schlägt eine europäische mannschaft frankreich deren spieler hauptsächlich muslimischen und afrikanischen migrationshintergrund haben,25,264,9.6,6,0.24,de
neuer bekommt zwar nicht den goldenen handschuh aber zum trost wird ihm nachträglich der goldene reklamierarm verliehen,17,119,6.0588235294117645,8,0.47058823529411764,de
die war ein großer erfolg für die welt zeigte sich solidarisch im sport amp legte die politik zur seite teamgeist menschlichkeit amp sport dominierten alles nur die dt spaßbremsen amp blamierten international bis auf die knochen,36,228,5.361111111111111,15,0.4166666666666667,de
sagt dass für die andere ausgebildet sind leider sind nicht alle hierfür ausgebildet einige haben noch nicht mal eine oder ein abgeschlossen via,23,144,5.304347826086956,15,0.6521739130434783,de
die war in katar war das jetzt im nachhinein so schlimm wie gedacht mein fazit eindeutiges nein,17,95,4.647058823529412,10,0.5882352941176471,de
warum musste vom scheich gezwungen messi das durchsichtige neglig anziehen der scheich der alte schwerenöter,15,108,6.266666666666667,5,0.3333333333333333,de
ich versteh nich warum menschen immer noch irritiert sind wenn ich sage dass ich kein fußball gucke digga würde ich mich für sport interessieren wär ich nich fett,28,162,4.821428571428571,13,0.4642857142857143,de
nach einem krimi gegen haben die argentinier nach 36 jahren erneut den pokal geholt insgesamt das dritte mal auch in feierten die menschen ausgelassen,24,150,5.291666666666667,11,0.4583333333333333,de
zu dieser paßt es irgendwie keine identifikation gefunden wenig informiert dann eingebildet das finale käme um 20 uhr woher auch immer ich die info hatte ca 85 minute zugeschaltet mit o2 tv zurückgespult ende 1 halbzeit gerät aufgehängt ergebnis,39,245,5.3076923076923075,12,0.3076923076923077,de
die beste wm aller zeiten was ein finale messi,9,46,4.222222222222222,4,0.4444444444444444,de
ihr von um eure rsche zu wärmen ist ok aber geht gar nicht,13,58,3.5384615384615383,8,0.6153846153846154,de
gerade im tv 2024 dann die em in deutschland endlich wieder fußball ohne schlechtes gewissen schauen meine fresse,18,113,5.333333333333333,7,0.3888888888888889,de
nachdem diese klimafeindliche vorbei ist können wir dann endlich in deutschland die schneekanonen anwerfen und das land bis april in eine weiße skilandschaft verwandeln,24,168,6.041666666666667,12,0.5,de
wie di maria argentinien einen vorteil verschaffte und wie frankreich dank zweier bundesligastars zurück ins spiel fand meine analyse des finals gibt es in meinem tagebuch,26,171,5.615384615384615,10,0.38461538461538464,de
wird vom zur interviewt hat aber selbst nicht ein einziges spiel angeschaut was das für eine redaktionelle auswahl wie können solche interviewpartnerinnen auch nur annähernd eine bilanz ziehen,28,192,5.892857142857143,18,0.6428571428571429,de
das wird mein einziger tweet bleiben woher kommen die farben von von den byzantinern eh klar,16,92,4.8125,7,0.4375,de
wechsel beleben frankreich aber argentinien trotzt diesen hat lionel und am ende die besseren nerven die analyse zum endspiel der von,21,133,5.380952380952381,10,0.47619047619047616,de
ernste frage ist es nicht auch rassismus wenn nur schnell rennende afrikaner die chance haben in einem europäischen land sozial aufzusteigen,21,140,5.714285714285714,10,0.47619047619047616,de
wird nach dem triumph an der eingekleidet und die lässt die hüllen fallen der robenmoment holt die fussballwelt auf den boden zurück wm 2022 mit der robe für messi stellt sich die fifa selbst bloss,35,197,4.6571428571428575,18,0.5142857142857142,de
spätestens mit dieser letzten geste der wm wurde klar wie unwichtig das eigentliche spiel geworden,15,98,5.6,5,0.3333333333333333,de
lionel war im endspiel der der protagonist krönte seine karriere mit dem titel hat ihn über 120 minuten genau beobachtet,20,120,5.05,10,0.5,de
das lächeln von messi ist das lächeln des fußballs,9,50,4.666666666666667,5,0.5555555555555556,de
für das handelsblatt darf fußball einfach nicht in und von wüstenstaaten gespielt werden und an welchem kreisligatresen gabs jemals gutes bier,21,142,5.809523809523809,10,0.47619047619047616,de
mein heutiges abschließendes resümee zur in zwischen kritik und fußballim gespräch mit das war mein letzter akt in ich packe meine taschen und nach 2 wochen weltklimakonferenz und 4 wochen wm geht es jetzt endlich wieder nach hause,38,231,5.105263157894737,19,0.5,de
der event war nix eben dumm gelaufen hätte man mal die deutschen gefragt die europameisterschaft in deutschland wird aber ein hammer was regenbogenfarben angeht hab ich schon div ideen den europameister haben wir auch schon ganz ohne spiel die ukraine,40,251,5.3,18,0.45,de
ein solches finale habe ich noch nie erlebt sagt der präsident des südtiroler fußballverbandes klaus schuster war die in katar besser als ihr ruf,24,145,5.083333333333333,12,0.5,de
ua mit und interessiert sich auch für die vorgänge im dschungel,11,63,4.818181818181818,7,0.6363636363636364,de
wie sich heute wohl seine mitspieler fühlen wenn sie nur von lesen ich finde die berichterstattung respektlos in erster linie seinem team gegenüber was die wenigstens wissen fußball ist ein mannschaftssport messi wäre nichts ohne sein team,37,239,5.486486486486487,18,0.4864864864864865,de
oh wie ich messi und der mannschaft diesen titel gönnen mag mit leib und seele erkämpft grandios und ich bin sonst definitv kein argentinienfan,24,143,5.0,12,0.5,de
im fokus pressestimmen zum endspiel der,6,39,5.666666666666667,3,0.5,de
halt einfach der prinz von arabien,6,34,4.833333333333333,2,0.3333333333333333,de
sagt denn irgend jemand einmal diesem mann wie peinlich sein aufdringlicher auftritt beim großartigen war,15,105,6.066666666666666,6,0.4,de
rosario argentina feiert neben che guevara ist messi auf vielen wandmalereien zu sehen,13,86,5.6923076923076925,3,0.23076923076923078,de
was ein finale die neue generation schl fast die alte dame tolle story wahnsinns spiel,15,86,4.8,4,0.26666666666666666,de
so feiern die argentinischen fans ihre fussballhelden,7,53,6.714285714285714,3,0.42857142857142855,de
wenn der clown in den palast kommt wird nicht der clown zum könig sondern der palast zum zirkus,18,95,4.333333333333333,11,0.6111111111111112,de
jetzt wo die vorbei ist können wir uns endlich wieder auf fußball konzentrieren,13,79,5.153846153846154,9,0.6923076923076923,de
was ein geiles wm finale 2022 mit einem würdigen weltmeisterteam um messi,12,73,5.166666666666667,5,0.4166666666666667,de
ich habe kein spiel gekuckt ich habe keine gekauft und ich habe alle anderen sponsoren dieser beukottiert,17,105,5.235294117647059,12,0.7058823529411765,de
zum glück ist die wm zu ende,7,28,3.142857142857143,4,0.5714285714285714,de
mein sportliches wmfazit solange schiedsrichter daran gemessen werden wieviele rote und gelbe karten sie geben muss jede manschaft leider viele fouls begehen um erfolgreich zu sein,26,180,5.961538461538462,9,0.34615384615384615,de
wenn wir uns über den umhang aufregen der lionel messi vor der pokalübergabe umgehangen wurde sollten wir an die frauen weltweit denken denen koptuch und burka aufgezwungen werden hätte es cool gefunden wenn er ihn ausgezogen hätte,37,231,5.27027027027027,17,0.4594594594594595,de
der ukrainische präsident wolodymyr selenskyj hat bedauert dass der fußballweltverband fifa eine bitte um eine friedensbotschaft vor dem finale der abgelehnt hat,22,161,6.363636363636363,11,0.5,de
für den schutz unseres lebensraum und der tier und pflanzenarten also unserer ganz grundsätzlichen lebensgrundlage würde ich mir soviel aufmerksamkeit wie für die wünschen maybe dreams come true one time,30,203,5.8,13,0.43333333333333335,de
ich glaube ich hab gar keinen post gemacht also ich vergönne es ihm echt 10,15,75,4.066666666666666,8,0.5333333333333333,de
kein einziges spiel geschaut vermisse nichts scheiß,7,51,6.428571428571429,2,0.2857142857142857,de
der titel als krönung für aber die zukunft heißt ein kommentar zum wmfinale,13,75,4.846153846153846,7,0.5384615384615384,de
ich persönlich finde dass genau der richtige für die in qatar ist und den satz lass ich jetzt mal wirken,20,104,4.25,11,0.55,de
die krönungsmesse für s superstar ist vollzogen der in ist geschichte doch was bleibt übrig von der umstrittenenen in via,20,121,5.1,11,0.55,de
im elfmeterschießen lionel messi krönt sich und argentinien zum weltmeister,10,75,6.6,4,0.4,de
unnötige und vulgäre showeinlage,4,32,7.25,1,0.25,de
eine kreuzfahrt mit sheikh lionel messi amp der scheich verbringen einen liebesurlaub auf einer nachbildung der beide wollen andere islamische länder davon überzeugen die einzuführen,25,182,6.32,10,0.4,de
einseitig und überheblich sehr lesenswert was politologe kai hafez hier bilanziert,11,82,6.545454545454546,4,0.36363636363636365,de
es musste noch einmal schmierig werden schmierig und sich treu bleibt die journaille in 80 des reports wieder und wieder zum 10000de mal die moralische berlegenheit zu dokumentieren,28,181,5.5,16,0.5714285714285714,de
schön wenn der erfolg bei der wm zumindest den menschen in marokkokroatiennun insbesondere argentinien mit der krönung von messieinem wmtitel nach wieder 36 jahren soviel freude bereit,27,184,5.851851851851852,11,0.4074074074074074,de
ehre wem ehre gebürt glückwunsch an und zum gewinn der weltmeisterschaft,11,72,5.636363636363637,4,0.36363636363636365,de
der beim finale die ganze zeit versucht hat die aufmerksamkeit auf sich zu ziehen steht auf dem platz nachdem gegen besiegt wurde und die spieler nehmen ihn nicht einmal zur kenntnis schaute nicht mal an,35,203,4.828571428571428,18,0.5142857142857142,de
trägt da einen trauerflor zur beerdigung des ehrlichen fußballs,9,63,6.111111111111111,4,0.4444444444444444,de
hätte gewonnen wäre es wohl selbst langsam offiziell peinlich geworden immerhin hat frankreich und katar die wm in katar auf gegenseitigkeit käuflich erworben,23,158,5.913043478260869,7,0.30434782608695654,de
denke den umhang haben bisher nicht viele angeboten bekommen man hätte ihm auch ein tuch auf den kopf stülpen können da ist die geste sehr viel vornehmer und ehrt ihn als held der toll,34,184,4.4411764705882355,19,0.5588235294117647,de
lionel messi der beste spieler der fußballgeschichte goat und sheikh endlich hat er es geschafft und die wm gewonnen eine großartige nacht das beste wmfinale und die beste wm aller zeitenin katar,32,195,5.125,13,0.40625,de
was macht jetzt mit den riesigen stadien,7,40,4.857142857142857,4,0.5714285714285714,de
