,tweet,sentiment
137,da bin ich aber jetzt wirklich erleichtert dass die fußball vorbei ist endlich verschwinden diese berichte über menschrechte und missstände aus den medien es ist ja auch bald weihnachten und dann will man es doch gemütlich haben ist doch sooder,positive
138,dafür dass alle laut gegrölt haben dass sie die wm auch boykottieren seh ich extrem viele freudesausbrüche über den sieg argentiniens und bekundungen was für eine mega wm das war in meiner timeline wenn ihr nicht mal das schafft geht die neujahrsvorsätze klein an,negative
139,kein spiel dieser geschaut und meine berzeugung dass dies richtig war ist durch den versuch der politischen instrumentalisierung von durch mit freundlicher hilfe von bis zuletzt bestätigt worden,positive
140,nach sieg von argentinien wurde buenos aires zur partyzone pclmedia,neutral
141,wie ist die stimmung in mit eindrücken aus dem weltmeisterland in unserem newspodcast nachrichtenwecker und überall wo es podcasts gibt,neutral
142,ich bekomme wirklich das kotzen wenn ich sehe wie king touchameni und kolo muani jetzt rassistisch beleidigt werden was alle 3 für ein krankes finale gespielt haben fällt komplett runter und das als 2 platz absolut unverständlich für mich,negative
143,bizarre szenen aus der nach dem,negative
144,absolutes top wm finale aber das so viele jetzt meinen das es einer der besten wms war verstehe ich 0 auch nicht wenn man die äußeren umstände mal außen vor lässt die gruppenphase war super langeweilig und viele sehr schlechte spiele 14,neutral
145,maßgeblich für die richtige einordnung des arabischen weltbilds sind nicht interne arbeitsgesellschaftsverhältnissesondern die unfähigkeitandere kulturen zu tolerieren und nicht zu ersetzen das zeigte wieder mal die einkleidung messis vor der pokalübergabe,positive
146,die europäer aus südamerikaner haben gegen die afrikaner aus frankreich gewonnen glückwunsch an uns weiße,positive
147,sehr schoene geste von katarischem prince und messe freut sich darueber auch wenn beider einverstanden sind dann wer bist du dies zu kritisieren also klappe halten,neutral
148,eigentlich wollte die wm niemand schauen und nun ist es das vielleicht beste wmfinal aller zeiten,neutral
149,nach dem vorrundenaus der deutschen bin ich jetzt ganz froh dass die endlich vorbei ist mit dem wort e assoziiere ich im brigen auch immer noch etwa anderes,positive
150,eine südamerikanische mannschaft argentinien deren spieler hauptsächlich christlichen und europäischen migrationshintergrund haben schlägt eine europäische mannschaft frankreich deren spieler hauptsächlich muslimischen und afrikanischen migrationshintergrund haben,neutral
151,neuer bekommt zwar nicht den goldenen handschuh aber zum trost wird ihm nachträglich der goldene reklamierarm verliehen,neutral
152,afrika hat es nicht gemaked,neutral
153,die war ein großer erfolg für die welt zeigte sich solidarisch im sport amp legte die politik zur seite teamgeist menschlichkeit amp sport dominierten alles nur die dt spaßbremsen amp blamierten international bis auf die knochen,positive
154,yüzyln lideri yüzyln manda,neutral
155,collected genius martinez rabiot scaloni truth social ann summers keith taylor silent departure lautaro  footix zweli deschamps mannschaft myspace free speech jay chou brighton,neutral
156,sagt dass für die andere ausgebildet sind leider sind nicht alle hierfür ausgebildet einige haben noch nicht mal eine oder ein abgeschlossen via,neutral
157,die war in katar war das jetzt im nachhinein so schlimm wie gedacht mein fazit eindeutiges nein,negative
158,warum musste vom scheich gezwungen messi das durchsichtige neglig anziehen der scheich der alte schwerenöter,negative
159,ich versteh nich warum menschen immer noch irritiert sind wenn ich sage dass ich kein fußball gucke digga würde ich mich für sport interessieren wär ich nich fett,positive
160,nach einem krimi gegen haben die argentinier nach 36 jahren erneut den pokal geholt insgesamt das dritte mal auch in feierten die menschen ausgelassen,positive
161,zu dieser paßt es irgendwie keine identifikation gefunden wenig informiert dann eingebildet das finale käme um 20 uhr woher auch immer ich die info hatte ca 85 minute zugeschaltet mit o2 tv zurückgespult ende 1 halbzeit gerät aufgehängt ergebnis,neutral
162,die beste wm aller zeiten was ein finale messi,neutral
163,ihr von um eure rsche zu wärmen ist ok aber geht gar nicht,neutral
164,bij ons stoppen voetbaltoppers zoals eden hazard hun internationale voetbalcarrire op hun 31ste en echte wereldsterren die worden wereldkampioen op hun 35ste het gaat over mentaliteit fierheid doorzetting goesting cc,positive
165,gerade im tv 2024 dann die em in deutschland endlich wieder fußball ohne schlechtes gewissen schauen meine fresse,neutral
166,kyky martinez bears  zach wilson maradona trevor lawrence texans blanca paloma messi twitters 80eme tumblr carr messi  lloris mbappe texans bengals martinez barbie,neutral
167,nachdem diese klimafeindliche vorbei ist können wir dann endlich in deutschland die schneekanonen anwerfen und das land bis april in eine weiße skilandschaft verwandeln,neutral
168,wie di maria argentinien einen vorteil verschaffte und wie frankreich dank zweier bundesligastars zurück ins spiel fand meine analyse des finals gibt es in meinem tagebuch,neutral
169,wird vom zur interviewt hat aber selbst nicht ein einziges spiel angeschaut was das für eine redaktionelle auswahl wie können solche interviewpartnerinnen auch nur annähernd eine bilanz ziehen,negative
170,linktree texans myspace macron 30p lee scott williams mbappe  macron areola george best contented lquipe de france contented titel de paul collected iker maradona violetta dak prescott,neutral
171,das wird mein einziger tweet bleiben woher kommen die farben von von den byzantinern eh klar,positive
172,wechsel beleben frankreich aber argentinien trotzt diesen hat lionel und am ende die besseren nerven die analyse zum endspiel der von,negative
173,ernste frage ist es nicht auch rassismus wenn nur schnell rennende afrikaner die chance haben in einem europäischen land sozial aufzusteigen,positive
174,contented tchouameni macron bundesliga harry potter dibu di maria draymond   tumblr  martinez dembele texans disasi world cup oosteuropa mbappe,neutral
175,muani tannehill orbit 1 nft jalen  kern drake areola tripl buenos aires kelvin joseph harry potter tannehill world champions festival of lights snug drake happy hanukkah,neutral
176,wird nach dem triumph an der eingekleidet und die lässt die hüllen fallen der robenmoment holt die fussballwelt auf den boden zurück wm 2022 mit der robe für messi stellt sich die fifa selbst bloss,neutral
177,spätestens mit dieser letzten geste der wm wurde klar wie unwichtig das eigentliche spiel geworden,positive
178,lionel war im endspiel der der protagonist krönte seine karriere mit dem titel hat ihn über 120 minuten genau beobachtet,neutral
179,reflex plattformen dak prescott tesla snug linktree romero scott williams bears allez les bleus di maria martinez twitch ukraine soccer messi pele wordle 548 ronaldo,neutral
180,das lächeln von messi ist das lächeln des fußballs,positive
181,für das handelsblatt darf fußball einfach nicht in und von wüstenstaaten gespielt werden und an welchem kreisligatresen gabs jemals gutes bier,negative
182,mein heutiges abschließendes resümee zur in zwischen kritik und fußballim gespräch mit das war mein letzter akt in ich packe meine taschen und nach 2 wochen weltklimakonferenz und 4 wochen wm geht es jetzt endlich wieder nach hause,neutral
183,der event war nix eben dumm gelaufen hätte man mal die deutschen gefragt die europameisterschaft in deutschland wird aber ein hammer was regenbogenfarben angeht hab ich schon div ideen den europameister haben wir auch schon ganz ohne spiel die ukraine,negative
184,ein solches finale habe ich noch nie erlebt sagt der präsident des südtiroler fußballverbandes klaus schuster war die in katar besser als ihr ruf,neutral
185,ua mit und interessiert sich auch für die vorgänge im dschungel,positive
186,wie sich heute wohl seine mitspieler fühlen wenn sie nur von lesen ich finde die berichterstattung respektlos in erster linie seinem team gegenüber was die wenigstens wissen fußball ist ein mannschaftssport messi wäre nichts ohne sein team,negative
187,i really want to follow for daily content,neutral
188,oh wie ich messi und der mannschaft diesen titel gönnen mag mit leib und seele erkämpft grandios und ich bin sonst definitv kein argentinienfan,positive
189,high five eure majestät,negative
190,im fokus pressestimmen zum endspiel der,neutral
191,halt einfach der prinz von arabien,positive
192,am 4 advent,neutral
193,martinez lloris messi marcus allen linktree marbles maradona dwelling jozabed noah brown kellen moore jaguars giroud cease  eagles finale violetta giroud bengals goat sean penn mi familia,neutral
194,mastodon mbappe   mastodon tesla rakky ripper free speech merci la france aguero zay jones butker macron miles sanders 70min agüero pokal saudis morten bruun what a final arjantin,neutral
195,sagt denn irgend jemand einmal diesem mann wie peinlich sein aufdringlicher auftritt beim großartigen war,positive
196,allen kolo muani chag sameach sofa martn makler what a final silent mac allister karriere pel camavinga timed mannschaft jalen  cowboys  jisoo ben johnson bears,neutral
197,rosario argentina feiert neben che guevara ist messi auf vielen wandmalereien zu sehen,neutral
198,was ein finale die neue generation schl fast die alte dame tolle story wahnsinns spiel,positive
199,so feiern die argentinischen fans ihre fussballhelden,positive
200,of all time free speech finale jack  goat lions goat pats kyks alfred martinez shade macron sportsman kelvin joseph glover de paul  cristiano soccer allez,neutral
201,wenn der clown in den palast kommt wird nicht der clown zum könig sondern der palast zum zirkus,neutral
202,jetzt wo die vorbei ist können wir uns endlich wieder auf fußball konzentrieren,neutral
203,was ein geiles wm finale 2022 mit einem würdigen weltmeisterteam um messi,positive
204,ich habe kein spiel gekuckt ich habe keine gekauft und ich habe alle anderen sponsoren dieser beukottiert,positive
205,brady justin fields linktree musical footix kolo muani chiefs cdtv free speech   macron martinez saints silent argentina buenos aires zach,neutral
206,zum glück ist die wm zu ende,neutral
207,mein sportliches wmfazit solange schiedsrichter daran gemessen werden wieviele rote und gelbe karten sie geben muss jede manschaft leider viele fouls begehen um erfolgreich zu sein,positive
208,newnewnewnew wwwalfimooor tagesnews wwwalfimoor tageskarikaturen wwwalfimoor zofingen,neutral
209,wenn wir uns über den umhang aufregen der lionel messi vor der pokalübergabe umgehangen wurde sollten wir an die frauen weltweit denken denen koptuch und burka aufgezwungen werden hätte es cool gefunden wenn er ihn ausgezogen hätte,negative
210,arjantinin tokadn yiyen macron,neutral
211,der ukrainische präsident wolodymyr selenskyj hat bedauert dass der fußballweltverband fifa eine bitte um eine friedensbotschaft vor dem finale der abgelehnt hat,negative
212,improved tumblr mistress manu martinez velus jones lloris deschamps dybala  vegedream weltmeister elon mbapp alberto contented messi what a game,neutral
213,für den schutz unseres lebensraum und der tier und pflanzenarten also unserer ganz grundsätzlichen lebensgrundlage würde ich mir soviel aufmerksamkeit wie für die wünschen maybe dreams come true one time,neutral
214,this poll because i even bring back myspace myspace myspacetom elonmusk i could write the free speech victory argentina kolo muani 70min francfort thuram rabada elon will abide by a thing both the chat,neutral
215,justin fields coman mastodon becky otamendi alberto amrique du sud aleague pele messi happy hanukkah benzema departure marbles maignan bears elfmeter linktree brighton,neutral
216,did i see right wing osaka chimpira toru hashimoto in he along with amp ichiro matsui common thieves in kansai,neutral
217,ich glaube ich hab gar keinen post gemacht also ich vergönne es ihm echt 10,positive
218,kein einziges spiel geschaut vermisse nichts scheiß,positive
219,der titel als krönung für aber die zukunft heißt ein kommentar zum wmfinale,neutral
220,pure ekstase in so ausgelassen feiert den dritten titel,positive
221,ich persönlich finde dass genau der richtige für die in qatar ist und den satz lass ich jetzt mal wirken,neutral
222,john terry gate romero cease benzema kiki maradona lautaro kuriger la france aguero common otamendi suce plattformen argentina jalen el kun goat greatly,neutral
223,justin fields buccaneers festival of lights madonna saudi arabia argentina kolo muani 70min francfort thuram rabada elon penalties myspace footix what a final geoff hurst patricia,neutral
224,dembele mbappe  falklands di maria argentina boxing day vote yes jets emir jags varane camavinga pule mabe  cdtv amrique du sud what a game gmgm kellen moore zach wilson macron,neutral
225,thank you for a truly incredible final and congratulations to argentina and for your amazing performance,neutral
226,argentina elfmeterschießen sir geoff martinez ronaldo maradona  elmo maradona wordle 548 ronaldo ronaldo macron pel free speech harry potter,neutral
227,if someone is searching fucked up people they are right there in the comment section,neutral
228,gate  drake glover abema merci les bleus ally mccoist happy holidays timed admiration pele agoney eagles kazuya ronaldo doug pederson remarkably,neutral
229,die krönungsmesse für s superstar ist vollzogen der in ist geschichte doch was bleibt übrig von der umstrittenenen in via,neutral
230,a rainbow over the qatarnic a cruise with sheikh lionel messi amp the sheik spend a love holiday on a replica of the both want to convince other islamic countries to introduce,neutral
231,im elfmeterschießen lionel messi krönt sich und argentinien zum weltmeister,neutral
232,south africa   jags elon chiefs sir geoff vegedream titel happy hanukkah thuram kolo muani giroud infantino pel macron ronaldo chag sameach mastodon stadion bengals,neutral
233,chiefs cowgirls kolo muani footix violetta benzema camavinga leno suspicion sir geoff argentina manu drake departure chiefs scott williams goedemorgen dembele martin tyler messi boykott,neutral
234,amrica jay chou goat frankrijk chiefs suspicion umhang martinez distrusts jalen  visited mac jones marcus allen marcus allen martinez popper pk messi lautaro landesstudios qatar free,neutral
235,marte amrica bondy messi linktree tumblr spacex eagles chiefs davis mills saudi arabia drift de paul chiefs thuram fransen sir geoff linktree happy hanukkah halsema,neutral
236,unnötige und vulgäre showeinlage,negative
237,eine kreuzfahrt mit sheikh lionel messi amp der scheich verbringen einen liebesurlaub auf einer nachbildung der beide wollen andere islamische länder davon überzeugen die einzuführen,positive
238,messi pokal daron bland chiefs tannehill carlton davis mbappe mastodon dak prescott zach wilson mastodon mac jones bisht shade di maria daley justin fields pats kerzen,neutral
239,violetta patricia goat  cowboys elefanten tumblr argentina goat elon giroud bears tampa bay cowboys footix tolerably tolerably saudi arabia heather tom cruise romero elfmeterschießen,neutral
240,hurst admiration   elon trevor lawrence  rabiot victory   falcons elon kyks macron buenos aires bleus fussball,neutral
241,30p lee engin vegedream 70min eagles dybala fußball euburgers linktree maradona mistress kolo muani lloris maradona elon goat  world cup slaap sir geoff suffer noah brown jungkook,neutral
242,einseitig und überheblich sehr lesenswert was politologe kai hafez hier bilanziert,negative
243,eagles infantino di maria justin fields john terry cowboys  jalen elfer sportsman mastodon messi tripl footix silent deschamps,neutral
244,romero insta mastdarm martinez jaguars glover qatar rabada  departure  messi jags jared kushner free speech collected messi  scuf reflex mandanda comfort mbappe,neutral
245,es musste noch einmal schmierig werden schmierig und sich treu bleibt die journaille in 80 des reports wieder und wieder zum 10000de mal die moralische berlegenheit zu dokumentieren,positive
